Bucket Number,Bucket
156,156_icmp_icmp message_ping_echo
157,157_arpanet_arpa_robert_research
158,158_sender_sends message_sends message sends_message sends message
159,159_qos_guarantee_qos guarantee_flow
160,160_book_chapter_author_reference
161,161_cost_link cost_cost change_link
162,162_virus_malware_worm_malicious
163,163_msc_anchor msc_visited_anchor
164,164_queue_queued_queue packet_transmission packet
165,165_checksum_pseudoheader_udp_header
166,166_tree_spanning tree_spanning_sink
167,167_forwarding table_forwarding_table_router forwarding table
168,168_syn_syn segment_segment_syn flood
169,169_traceroute_traceroute program_traceroutes_trace
170,170_dtn_bundle_dtn node_dtns
171,171_sequence number_sequence_packet sequence_packet sequence number
172,172_request_request reply_response_response message
173,173_snmp_managing_managing server_managed device
174,174_tion_tions_following tions_tion look
175,175_transportlayer protocol_transport protocol_transportlayer_transport
176,176_mobile web_mobile_web_mobile device
177,177_interconnected_collection_network network_internet
178,178_section recall_recall_recall section_recall section recall
179,179_switching_circuit switching_packet switching_circuit
180,180_pixel_color_image_rgb
181,181_channel_signaling_channel allocation_signaling channel
182,182_udpclient_py_serverport_clientsocket
183,183_gigabit_gigabit ethernet_ethernet_fast ethernet
184,184_ct_rts_rts ct_ct frame
185,185_timer_tick_timer expires_reset
186,186_table_column table_column_note table
187,187_input bit_output bit_bit output_output
188,188_client server_client_client code_clientserver application
189,189_tunnel_tunneling_ipv_paris
190,190_ppp_aal_ppp frame_sonet
191,191_crc_crc code_polynomial_cyclic redundancy check
192,192_vpn_private network_virtual private_virtual private network
193,193_procedure_stub_server procedure_remote procedure
194,194_tcp sender_loss_rate_congestion
195,195_switch_linklayer switch_packet switch_linklayer
196,196_country_france_boston ma_sept
197,197_station_suppose station_numbered station_transmitting station
198,198_bridge_frame port_port_port bridge
199,199_timeout_timeouts_timeout interval_timeout event
200,200_playout_playout delay_talk spurt_spurt
201,201_mac address_mac_adapter_address adapter
202,202_wimax_mobile wimax_wimax network_known wimax
203,203_source_destination_router advertisement_outgoing line
204,204_data rate_rate_overhead_rate adaptation
205,205_encoding_ascii_encoded_ascii character
206,206_sequence number_window_sequence_number
207,207_downstream_upstream_mbps downstream_upstream downstream
208,208_sha_hash_hash algorithm_cryptographic hash
209,209_quality service_quality_service_based quality
210,210_collision_probability collision_equal probability collision_collision chosen
211,211_mac address_mac_address field_address
212,212_fsm_fsm description_description_fsm figure
213,213_frame_bit frame_bit_error
214,214_vlr_hlr_visited network_visited
215,215_authentication_authentication protocol_authorization_simple authentication
216,216_communication_communication possible_communicate_communication people
217,217_spam_mail_spammer_junk
218,218_tcp_tcp implementation_tcp us_ip product
219,219_forwarding_generalized forwarding_generalized_assured forwarding
220,220_access protocol_multiple access_multiple access protocol_random access
221,221_connection_connection establishment_establishment_establishing connection
222,222_case_case case_consider case_case likely
223,223_hot potato_potato_hot potato routing_potato routing
224,224_tcp ip_model_ip model_tcp ip model
225,225_modem_cable modem_minislots_minislot
226,226_application buffer_client application_client application buffer_buffer
227,227_web server_web_companion website_website
228,228_audio_low_high low_audio http
229,229_envelope_body_smtp_header
230,230_label_flow label_path label_different label
231,231_samplertt_estimatedrtt_samplertt value_value
232,232_consider figure_figure consider figure_consider figure consider_figure consider
233,233_aloha_slotted aloha_slotted_efficiency slotted aloha
234,234_handoff_base station_base_station
235,235_ipv datagram_datagram format_ipv_ipv datagram format
236,236_attack_bad guy_guy_security
237,237_xml_xhtml_html_language
238,238_data sent_data transmitted_transmit data_data
239,239_gsm_mobile phone_phone_europe
240,240_file_large file_file host_host sending
241,241_congested link_share_bandwidth_equal
242,242_flooding_flood_link state update_state update
243,243_handshake_threeway_way handshake_threeway handshake
244,244_discus_discus discus_ter discus_tion discus
245,245_ad hoc_hoc_ad_ad hoc network
246,246_shortest path_shortest_path_compute shortest path
247,247_probability_slot_probability node_slot probability
248,248_burst_burst error_burst length_error
249,249_form_post_method_post method
250,250_example let_example let look_let look_look example
251,251_host host_host_channel host_channel host host
252,252_message_message message_want reply message_want reply
253,253_idle_channel idle_idle station_channel idle station
254,254_public key_public_key_key ring
255,255_chip sequence_chip_sequence_chip sequence station
256,256_illustrated figure_illustrated_figure illustrated figure_figure illustrated
257,257_capacity receiver_sender_receiver_rate
258,258_procedure_parameter_procedure described section_procedure described
259,259_door_socket_client_serversocket
260,260_path_path length_path taken_path shown
261,261_id_signaturebased_signature_snort
262,262_toll_office_toll office_ixc
263,263_mtu_path mtu_mtu discovery_path mtu discovery
264,264_compression_decompressing_compression algorithm_later data
265,265_osi_osi model_model_osi reference model
266,266_option_choice_choose option_choose
267,267_ear_frequency_audibility_threshold audibility
268,268_token_ring_token ring_ring protocol
269,269_internet_internet internet_world internet_internetwork
270,270_bursty_traffic_burst_burst traffic
271,271_delay_packetization_processing delay time_connected router connected
272,272_error rate_bit error rate_bit error_error
273,273_base station_base_wireless host_wireless
274,274_formula_infinity_approach infinity_formula let
275,275_kbps_speech_uncompressed_voice
276,276_multipath_fading_multipath fading_path loss
277,277_bridge_lan_multidrop_join
278,278_tcp ip_protocol tcp_tcp ip protocol_ip protocol
279,279_process_client process_process server_process client
280,280_traffic_traffic destined_destined_originates unit traffic
281,281_design_property_worked long huge_large nonetheless
282,282_distribution time_distribution_minimum distribution_minimum distribution time
283,283_letter_plaintext_common letter_trigram
284,284_node_frame node_transmitting frame node_transmitting frame
285,285_wireshark_wireshark lab_lab_sniffer
286,286_section described_discussion_described section_section described section
287,287_method_method method_approach_niche let
288,288_networking_student want_recommendation student want_recommendation student
289,289_ond_ond strategy_ond requirement_onds
290,290_encrypted_ek_plaintext_encrypting
291,291_internet radio_radio_iptv_radio station
292,292_nonce_mics_nonce value_protocol us nonce
293,293_sender figure_figure sender_figure receiver_figure
294,294_advantage_benefit_strategy advantage advantage_advantage advantage
295,295_router crash_crash_router_router discarded
296,296_integrity_message integrity_confidentiality_message integrity technique
297,297_switch_connection switch_term bridge switch_switch interchangeably
